Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,9,3,2107,2055,2302,2300,WN,74,N464WN,55,65,45,2,12,MDW,SDF,271,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,625,625,821,830,WN,247,N366SW,56,65,45,-9,0,MDW,SDF,271,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1817,1755,2013,2000,WN,693,N427WN,56,65,46,13,22,MDW,SDF,271,5,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1356,1355,1554,1600,WN,823,N712SW,58,65,45,-6,1,MDW,SDF,271,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1103,1055,1300,1300,WN,2019,N695SW,57,65,47,0,8,MDW,SDF,271,1,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1955,2000,2209,2230,WN,421,N246LV,254,270,242,-21,-5,MDW,SEA,1733,6,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1041,1040,1304,1310,WN,658,N298WN,263,270,247,-6,1,MDW,SEA,1733,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,755,755,1011,1025,WN,2702,N275WN,256,270,241,-14,0,MDW,SEA,1733,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1913,1915,2135,2205,WN,1009,N434WN,262,290,245,-30,-2,MDW,SFO,1855,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1307,1305,1530,1555,WN,1837,N203WN,263,290,252,-25,2,MDW,SFO,1855,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,950,950,1249,1240,WN,3846,N418WN,299,290,289,9,0,MDW,SFO,1855,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,735,735,1004,1020,WN,220,N297WN,269,285,262,-16,0,MDW,SJC,1838,3,4,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1811,1815,2028,2100,WN,2199,N443WN,257,285,245,-32,-4,MDW,SJC,1838,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,928,925,1153,1155,WN,151,N707SA,205,210,191,-2,3,MDW,SLC,1258,2,12,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1637,1640,1851,1910,WN,1662,N747SA,194,210,183,-19,-3,MDW,SLC,1258,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1954,1930,2220,2200,WN,163,N470WN,266,270,244,20,24,MDW,SMF,1790,5,17,0,,0,0,0,0,0,20
2008,1,9,3,836,825,1113,1055,WN,3145,N625SW,277,270,260,18,11,MDW,SMF,1790,4,13,0,,0,2,0,7,0,9
2008,1,9,3,1002,1000,1055,1105,WN,29,N685SW,53,65,42,-10,2,MDW,STL,251,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1750,1755,1850,1900,WN,166,N227WN,60,65,49,-10,-5,MDW,STL,251,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2121,2125,2215,2225,WN,393,N417WN,54,60,46,-10,-4,MDW,STL,251,3,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1925,1855,2026,2000,WN,490,N321SW,61,65,48,26,30,MDW,STL,251,3,10,0,,0,5,0,0,0,21
2008,1,9,3,728,730,821,830,WN,631,N285WN,53,60,44,-9,-2,MDW,STL,251,4,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1551,1555,1707,1700,WN,952,N392SW,76,65,50,7,-4,MDW,STL,251,19,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1109,1110,1213,1215,WN,1402,N623SW,64,65,48,-2,-1,MDW,STL,251,3,13,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,625,625,726,725,WN,1586,N746SW,61,60,44,1,0,MDW,STL,251,3,14,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,801,805,856,910,WN,2177,N525SW,55,65,46,-14,-4,MDW,STL,251,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1443,1445,1550,1550,WN,2205,N312SW,67,65,52,0,-2,MDW,STL,251,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1653,1655,1755,1800,WN,2263,N503SW,62,65,51,-5,-2,MDW,STL,251,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1300,1305,1355,1410,WN,2361,N633SW,55,65,48,-15,-5,MDW,STL,251,2,5,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1744,1740,2111,2115,WN,26,N325SW,147,155,134,-4,4,MDW,TPA,997,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,845,845,1206,1220,WN,89,N218WN,141,155,126,-14,0,MDW,TPA,997,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1349,1350,1711,1720,WN,477,N225WN,142,150,131,-9,-1,MDW,TPA,997,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2048,2050,6,20,WN,514,N732SW,138,150,127,-14,-2,MDW,TPA,997,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,618,620,951,950,WN,979,N258WN,153,150,126,1,-2,MDW,TPA,997,2,25,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,NA,1625,NA,2000,WN,1153,,NA,155,NA,NA,NA,MDW,TPA,997,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,9,3,1037,1040,1356,1410,WN,1847,N741SA,139,150,126,-14,-3,MDW,TPA,997,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1111,1105,1413,1350,WN,280,N420WN,242,225,224,23,6,MDW,TUS,1440,3,15,0,,0,2,0,17,0,4
2008,1,9,3,1846,1845,2123,2130,WN,422,N479WN,217,225,199,-7,1,MDW,TUS,1440,11,7,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1201,1150,1328,1325,WN,145,N206WN,87,95,73,3,11,MHT,BWI,377,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,721,720,852,855,WN,420,N289CT,91,95,78,-3,1,MHT,BWI,377,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1856,1900,2024,2035,WN,435,N390SW,88,95,77,-11,-4,MHT,BWI,377,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1009,1010,1139,1145,WN,1061,N776WN,90,95,75,-6,-1,MHT,BWI,377,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,2127,2130,2251,2300,WN,2038,N411WN,84,90,74,-9,-3,MHT,BWI,377,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,613,610,753,745,WN,2110,N752SW,100,95,75,8,3,MHT,BWI,377,4,21,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,858,855,1031,1025,WN,2266,N652SW,93,90,80,6,3,MHT,BWI,377,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1450,1445,1615,1620,WN,2437,N791SW,85,95,72,-5,5,MHT,BWI,377,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1716,1715,1851,1850,WN,2611,N295WN,95,95,79,1,1,MHT,BWI,377,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1551,1555,1723,1730,WN,3226,N750SA,92,95,80,-7,-4,MHT,BWI,377,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1311,1305,1447,1435,WN,3691,N777QC,96,90,81,12,6,MHT,BWI,377,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,650,645,945,950,WN,2719,N458WN,355,365,339,-5,5,MHT,LAS,2356,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,30,3,1422,1420,1649,1655,MQ,4273,N683AE,147,155,131,-6,2,RIC,MIA,826,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,31,4,1431,1420,1707,1655,MQ,4273,N823AE,156,155,140,12,11,RIC,MIA,826,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1818,1620,2036,1810,MQ,4274,N846AE,198,170,137,146,118,BDL,ORD,783,53,8,0,,0,0,0,28,0,118
2008,1,2,3,1644,1620,1808,1810,MQ,4274,N838AE,144,170,121,-2,24,BDL,ORD,783,8,15,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1618,1620,1745,1810,MQ,4274,N806AE,147,170,130,-25,-2,BDL,ORD,783,7,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1620,1620,1759,1810,MQ,4274,N812AE,159,170,129,-11,0,BDL,ORD,783,10,20,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1628,1620,1831,1810,MQ,4274,N846AE,183,170,141,21,8,BDL,ORD,783,12,30,0,,0,0,0,16,0,5
2008,1,6,7,1633,1620,1800,1810,MQ,4274,N828AE,147,170,119,-10,13,BDL,ORD,783,7,21,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,1711,1620,1933,1810,MQ,4274,N847AE,202,170,142,83,51,BDL,ORD,783,12,48,0,,0,0,0,83,0,0
2008,1,8,2,1640,1620,1957,1810,MQ,4274,N815AE,257,170,139,107,20,BDL,ORD,783,7,111,0,,0,0,0,107,0,0
2008,1,9,3,1648,1620,1823,1810,MQ,4274,N802AE,155,170,137,13,28,BDL,ORD,783,9,9,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,1616,1620,1814,1810,MQ,4274,N826AE,178,170,167,4,-4,BDL,ORD,783,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1620,1620,1816,1810,MQ,4274,N827AE,176,170,133,6,0,BDL,ORD,783,13,30,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1615,1620,1751,1810,MQ,4274,N808AE,156,170,133,-19,-5,BDL,ORD,783,9,14,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,1633,1620,1754,1810,MQ,4274,N692AE,141,170,127,-16,13,BDL,ORD,783,7,7,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1653,1620,1825,1810,MQ,4274,N651AE,152,170,123,15,33,BDL,ORD,783,7,22,0,,0,0,0,4,0,11
2008,1,15,2,1617,1620,1739,1810,MQ,4274,N619AE,142,170,120,-31,-3,BDL,ORD,783,7,15,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1611,1620,1743,1810,MQ,4274,N811AE,152,170,134,-27,-9,BDL,ORD,783,6,12,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,NA,1620,NA,1810,MQ,4274,,NA,170,NA,NA,NA,BDL,ORD,783,NA,NA,1,C,0,NA,NA,NA,NA,NA
2008,1,18,5,1617,1620,1840,1810,MQ,4274,N617AE,203,170,165,30,-3,BDL,ORD,783,19,19,0,,0,0,0,30,0,0
2008,1,19,6,1617,1620,1802,1810,MQ,4274,N829AE,165,170,140,-8,-3,BDL,ORD,783,15,10,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1628,1620,1817,1810,MQ,4274,N825AE,169,170,139,7,8,BDL,ORD,783,22,8,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1650,1620,1856,1810,MQ,4274,N839AE,186,170,164,46,30,BDL,ORD,783,10,12,0,,0,0,0,23,0,23
2008,1,22,2,1907,1620,2059,1810,MQ,4274,N693AE,172,170,153,169,167,BDL,ORD,783,8,11,0,,0,0,0,165,0,4
2008,1,23,3,1828,1620,2059,1810,MQ,4274,N823AE,211,170,140,169,128,BDL,ORD,783,10,61,0,,0,0,0,82,0,87
2008,1,24,4,1616,1620,1744,1810,MQ,4274,N854AE,148,170,127,-26,-4,BDL,ORD,783,8,13,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1651,1620,1916,1810,MQ,4274,N839AE,205,170,157,66,31,BDL,ORD,783,9,39,0,,0,0,0,66,0,0
2008,1,26,6,1652,1620,1845,1810,MQ,4274,N858AE,173,170,127,35,32,BDL,ORD,783,15,31,0,,0,0,0,3,0,32
2008,1,27,7,1614,1620,1743,1810,MQ,4274,N843AE,149,170,123,-27,-6,BDL,ORD,783,14,12,0,,0,NA,NA,NA,NA,NA
2008,1,28,1,NA,1620,NA,1810,MQ,4274,,NA,170,NA,NA,NA,BDL,ORD,783,NA,NA,1,C,0,NA,NA,NA,NA,NA
2008,1,29,2,1751,1620,2025,1810,MQ,4274,N823AE,214,170,152,135,91,BDL,ORD,783,11,51,0,,0,0,0,135,0,0
2008,1,30,3,1611,1620,1751,1810,MQ,4274,N925AE,160,170,132,-19,-9,BDL,ORD,783,14,14,0,,0,NA,NA,NA,NA,NA
2008,1,31,4,1916,1620,2254,1805,MQ,4274,N804AE,278,165,166,289,176,BDL,ORD,783,13,99,0,,0,0,0,184,0,105
2008,1,2,3,1204,1135,1339,1320,MQ,4275,N523AE,95,105,72,19,29,ORD,XNA,522,4,19,0,,0,0,0,7,0,12
2008,1,3,4,1208,1135,1338,1320,MQ,4275,N510AE,90,105,77,18,33,ORD,XNA,522,3,10,0,,0,1,0,0,0,17
2008,1,4,5,1222,1135,1356,1320,MQ,4275,N514AE,94,105,77,36,47,ORD,XNA,522,7,10,0,,0,36,0,0,0,0
2008,1,7,1,1130,1135,1324,1320,MQ,4275,N522AE,114,105,90,4,-5,ORD,XNA,522,3,21,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1131,1135,1335,1320,MQ,4275,N522AE,124,105,94,15,-4,ORD,XNA,522,5,25,0,,0,0,0,15,0,0
2008,1,9,3,1151,1135,1335,1320,MQ,4275,N522AE,104,105,82,15,16,ORD,XNA,522,3,19,0,,0,6,0,0,0,9
2008,1,10,4,1200,1135,1345,1320,MQ,4275,N501BG,105,105,83,25,25,ORD,XNA,522,3,19,0,,0,25,0,0,0,0
2008,1,11,5,1132,1135,1307,1320,MQ,4275,N524AE,95,105,81,-13,-3,ORD,XNA,522,2,12,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1132,1135,1304,1320,MQ,4275,N504AE,92,105,77,-16,-3,ORD,XNA,522,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1135,1135,1308,1320,MQ,4275,N516AE,93,105,75,-12,0,ORD,XNA,522,3,15,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1130,1135,1303,1320,MQ,4275,N513AE,93,105,81,-17,-5,ORD,XNA,522,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1449,1135,1647,1320,MQ,4275,N522AE,118,105,94,207,194,ORD,XNA,522,3,21,0,,0,95,0,13,0,99
2008,1,18,5,1150,1135,1353,1320,MQ,4275,N523AE,123,105,94,33,15,ORD,XNA,522,2,27,0,,0,0,0,18,0,15
2008,1,21,1,1214,1135,1355,1320,MQ,4275,N516AE,101,105,82,35,39,ORD,XNA,522,5,14,0,,0,0,0,4,0,31
2008,1,22,2,1152,1135,1345,1320,MQ,4275,N508AE,113,105,89,25,17,ORD,XNA,522,4,20,0,,0,0,0,8,0,17
2008,1,23,3,1142,1135,1345,1320,MQ,4275,N508AE,123,105,81,25,7,ORD,XNA,522,4,38,0,,0,0,7,18,0,0
2008,1,24,4,NA,1135,NA,1320,MQ,4275,,NA,105,NA,NA,NA,ORD,XNA,522,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,25,5,1134,1135,1322,1320,MQ,4275,N518AE,108,105,83,2,-1,ORD,XNA,522,2,23,0,,0,NA,NA,NA,NA,NA
2008,1,28,1,1241,1135,1424,1320,MQ,4275,N511AE,103,105,85,64,66,ORD,XNA,522,3,15,0,,0,0,0,3,0,61
2008,1,29,2,1200,1135,1350,1320,MQ,4275,N511AE,110,105,88,30,25,ORD,XNA,522,4,18,0,,0,0,0,9,0,21
2008,1,30,3,1136,1135,1309,1320,MQ,4275,N500AE,93,105,80,-11,1,ORD,XNA,522,2,11,0,,0,NA,NA,NA,NA,NA
2008,1,31,4,NA,1135,NA,1315,MQ,4275,,NA,100,NA,NA,NA,ORD,XNA,522,NA,NA,1,C,0,NA,NA,NA,NA,NA
2008,1,1,2,NA,1200,NA,1330,MQ,4276,,NA,90,NA,NA,NA,OMA,ORD,416,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,2,3,1240,1200,1413,1330,MQ,4276,N615AE,93,90,76,43,40,OMA,ORD,416,7,10,0,,0,0,0,3,0,40
2008,1,3,4,1221,1200,1358,1330,MQ,4276,N632AE,97,90,70,28,21,OMA,ORD,416,8,19,0,,0,0,0,7,0,21
2008,1,4,5,1207,1200,1342,1330,MQ,4276,N834AE,95,90,60,12,7,OMA,ORD,416,20,15,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1205,1200,1338,1330,MQ,4276,N665BC,93,90,75,8,5,OMA,ORD,416,8,10,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1253,1200,1411,1330,MQ,4276,N615AE,78,90,59,41,53,OMA,ORD,416,6,13,0,,0,0,0,39,0,2
2008,1,7,1,1333,1200,1515,1330,MQ,4276,N630AE,102,90,78,105,93,OMA,ORD,416,6,18,0,,0,0,0,42,0,63
2008,1,8,2,1335,1200,1515,1330,MQ,4276,N619AE,100,90,80,105,95,OMA,ORD,416,6,14,0,,0,0,0,23,0,82
2008,1,9,3,1220,1200,1343,1330,MQ,4276,N652RS,83,90,64,13,20,OMA,ORD,416,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,1154,1200,1334,1330,MQ,4276,N837AE,100,90,68,4,-6,OMA,ORD,416,3,29,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1232,1200,1359,1330,MQ,4276,N617AE,87,90,69,29,32,OMA,ORD,416,8,10,0,,0,0,0,0,0,29
2008,1,12,6,1330,1200,1506,1330,MQ,4276,N688AE,96,90,67,96,90,OMA,ORD,416,9,20,0,,0,0,0,6,0,90
2008,1,13,7,1304,1200,1436,1330,MQ,4276,N697AB,92,90,64,66,64,OMA,ORD,416,14,14,0,,0,0,0,2,0,64
2008,1,14,1,1159,1200,1330,1330,MQ,4276,N654AE,91,90,67,0,-1,OMA,ORD,416,9,15,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1155,1200,1319,1330,MQ,4276,N615AE,84,90,65,-11,-5,OMA,ORD,416,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1155,1200,1323,1330,MQ,4276,N616AE,88,90,63,-7,-5,OMA,ORD,416,7,18,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1256,1200,1429,1330,MQ,4276,N641AE,93,90,69,59,56,OMA,ORD,416,8,16,0,,0,0,0,11,0,48
2008,1,18,5,1312,1200,1441,1330,MQ,4276,N692AE,89,90,63,71,72,OMA,ORD,416,12,14,0,,0,0,0,0,0,71
2008,1,19,6,1221,1200,1346,1330,MQ,4276,N635AE,85,90,64,16,21,OMA,ORD,416,11,10,0,,0,0,0,0,0,16
2008,1,20,7,1305,1200,1447,1330,MQ,4276,N645AE,102,90,66,77,65,OMA,ORD,416,15,21,0,,0,0,0,12,0,65
2008,1,21,1,1220,1200,1407,1330,MQ,4276,N625AE,107,90,61,37,20,OMA,ORD,416,6,40,0,,0,0,0,17,0,20
2008,1,22,2,1322,1200,1507,1330,MQ,4276,N648AE,105,90,83,97,82,OMA,ORD,416,3,19,0,,0,0,0,15,0,82
2008,1,23,3,1251,1200,1426,1330,MQ,4276,N641AE,95,90,70,56,51,OMA,ORD,416,8,17,0,,0,0,0,5,0,51
2008,1,24,4,1204,1200,1330,1330,MQ,4276,N925AE,86,90,68,0,4,OMA,ORD,416,6,12,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1217,1200,1344,1330,MQ,4276,N645AE,87,90,66,14,17,OMA,ORD,416,10,11,0,,0,NA,NA,NA,NA,NA
2008,1,26,6,1155,1200,1329,1330,MQ,4276,N651AE,94,90,78,-1,-5,OMA,ORD,416,8,8,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,1203,1200,1330,1330,MQ,4276,N641AE,87,90,63,0,3,OMA,ORD,416,13,11,0,,0,NA,NA,NA,NA,NA
